,predicted_qty,real_y,date,promotion_flag,Special_order,break,year,month,weekday,long_holiday_start,after_long_holi,chu_and_sul,long_holiday_rest,mean_temp,precipitation_1day,max_windspeed,mean_humidity,weekend
108,932.5125732421875,662.0,2018-07-13,0,0,0,2018,7,5,0,0,0,0,27.0,0.0,5.2,83.4,0
109,1392.2313232421875,1353.0,2018-07-14,0,0,1,2018,7,6,0,0,0,0,27.6,0.0,5.1,79.9,1
110,1192.1348876953125,1193.0,2018-07-15,0,0,1,2018,7,7,0,0,0,0,27.2,0.0,5.4,79.9,1
111,753.09130859375,1025.0,2018-07-16,0,0,0,2018,7,1,0,0,0,0,27.1,0.0,5.2,74.9,0
112,684.2173461914062,932.0,2018-07-17,0,0,0,2018,7,2,0,0,0,0,27.6,0.0,7.0,70.6,0
113,797.276611328125,834.0,2018-07-18,0,0,0,2018,7,3,0,0,0,0,28.1,0.0,6.1,71.4,0
114,771.8084106445312,773.0,2018-07-19,0,0,0,2018,7,4,0,0,0,0,29.1,0.0,5.6,67.1,0
115,780.3236083984375,1064.0,2018-07-20,0,0,0,2018,7,5,0,0,0,0,29.6,0.0,4.1,65.8,0
116,1199.0218505859375,1877.5,2018-07-21,0,0,1,2018,7,6,0,0,0,0,29.2,0.0,6.1,78.1,1
117,813.8328857421875,869.0,2018-07-23,0,0,0,2018,7,1,0,0,0,0,29.5,0.0,7.2,69.8,0
118,783.1492919921875,806.0,2018-07-24,0,0,0,2018,7,2,0,0,0,0,29.3,0.0,7.2,74.8,0
119,888.771484375,1041.0,2018-07-25,0,0,0,2018,7,3,0,0,0,0,29.6,0.0,5.6,74.1,0
120,1067.805908203125,1065.0,2018-07-26,0,0,0,2018,7,4,0,0,0,0,30.4,0.0,5.0,74.5,0
121,1188.0770263671875,1562.0,2018-07-27,0,0,0,2018,7,5,0,0,0,0,29.8,0.0,4.7,79.5,0
122,1491.2645263671875,1778.0001220703125,2018-07-28,0,0,1,2018,7,6,0,0,0,0,29.3,0.0,4.3,69.0,1
123,1396.592529296875,1479.0,2018-07-29,0,0,1,2018,7,7,0,0,0,0,29.3,1.0,6.9,65.4,1
124,911.1461791992188,1085.0,2018-07-30,0,0,0,2018,7,1,0,0,0,0,28.9,0.1,4.5,70.0,0
125,887.6658935546875,1134.0,2018-07-31,0,0,0,2018,7,2,0,0,0,0,29.8,0.0,4.7,62.3,0
126,967.1393432617188,1135.0,2018-08-01,0,0,0,2018,8,3,0,0,0,0,30.3,0.0,4.9,60.4,0
127,838.8999633789062,1525.0,2018-08-02,0,0,0,2018,8,4,0,0,0,0,30.0,0.0,4.7,69.0,0
128,1078.1488037109375,1546.0,2018-08-03,0,0,0,2018,8,5,0,0,0,0,29.9,0.0,7.0,69.9,0
129,1527.420166015625,1877.5,2018-08-04,0,0,1,2018,8,6,0,0,0,0,30.1,0.0,7.3,73.4,1
130,1156.397705078125,1601.0,2018-08-05,0,0,1,2018,8,7,0,0,0,0,31.3,0.0,6.3,69.5,1
131,1093.7415771484375,1180.0,2018-08-06,0,0,0,2018,8,1,0,0,0,0,29.9,0.0,4.8,75.9,0
132,1151.2474365234375,1149.0,2018-08-07,0,0,0,2018,8,2,0,0,0,0,28.4,0.0,4.5,71.8,0
133,1158.982177734375,863.9999389648438,2018-08-08,0,0,0,2018,8,3,0,0,0,0,27.9,0.0,5.2,69.6,0
134,1079.0550537109375,1041.0,2018-08-09,0,0,0,2018,8,4,0,0,0,0,28.4,14.3,4.5,71.5,0
135,1393.622314453125,1112.0,2018-08-10,0,0,0,2018,8,5,0,0,0,0,26.7,0.0,3.6,81.4,0
136,1646.72314453125,1877.5,2018-08-11,0,0,1,2018,8,6,0,0,0,0,27.3,0.7,4.6,77.9,1
137,1122.0760498046875,1189.0,2018-08-13,0,0,0,2018,8,1,0,0,0,0,30.9,0.0,5.7,66.6,0
138,1014.9546508789062,1108.0,2018-08-14,0,0,0,2018,8,2,0,0,0,0,29.9,0.0,6.2,72.9,0
139,917.9249877929688,1311.0,2018-08-15,0,0,1,2018,8,3,0,0,0,1,28.6,23.8,11.4,79.9,0
140,1206.8033447265625,1004.9999389648438,2018-08-16,0,0,0,2018,8,4,0,0,0,0,26.2,1.7,7.7,84.1,0
141,1392.4547119140625,1246.0,2018-08-17,0,0,0,2018,8,5,0,0,0,0,25.2,0.0,6.5,58.9,0
142,1456.363525390625,1844.9998779296875,2018-08-18,0,0,1,2018,8,6,0,0,0,0,25.0,0.0,4.5,60.1,1
143,1456.19189453125,1407.0,2018-08-19,0,0,1,2018,8,7,0,0,0,0,25.3,0.0,4.9,65.6,1
144,933.7378540039062,790.0,2018-08-20,0,0,0,2018,8,1,0,0,0,0,26.2,0.0,5.1,69.4,0
145,892.0144653320312,778.0,2018-08-21,0,0,0,2018,8,2,0,0,0,0,28.6,0.0,4.5,67.5,0
146,840.725341796875,1120.0,2018-08-22,1,0,0,2018,8,3,0,0,0,0,29.8,0.0,5.2,67.0,0
147,933.0448608398438,902.0000610351562,2018-08-23,1,0,0,2018,8,4,0,0,0,0,28.0,2.7,6.0,79.0,0
148,1121.272705078125,952.0,2018-08-24,0,0,0,2018,8,5,0,0,0,0,26.7,3.1,15.5,83.8,0
149,1481.2239990234375,1517.0,2018-08-25,0,0,1,2018,8,6,0,0,0,0,25.7,2.4,6.2,82.6,1
150,927.479248046875,807.0,2018-08-27,0,0,0,2018,8,1,0,0,0,0,26.0,58.1,10.5,92.6,0
151,927.2190551757812,818.0,2018-08-28,0,0,0,2018,8,2,0,0,0,0,27.1,0.0,6.6,82.1,0
152,827.1044921875,885.0,2018-08-29,1,0,0,2018,8,3,0,0,0,0,27.3,0.0,8.7,80.0,0
153,889.710693359375,1103.0,2018-08-30,1,0,0,2018,8,4,0,0,0,0,27.5,0.7,8.9,81.6,0
154,960.9085693359375,1055.0,2018-08-31,1,0,0,2018,8,5,0,0,0,0,26.0,37.7,7.9,83.9,0
155,1344.0760498046875,1622.0,2018-09-01,0,0,1,2018,9,6,0,0,0,0,21.6,82.8,5.1,86.4,1
156,1419.924560546875,1146.0,2018-09-02,0,0,1,2018,9,7,0,0,0,0,22.8,3.3,4.3,80.9,1
157,850.9323120117188,717.0,2018-09-03,0,0,0,2018,9,1,0,0,0,0,24.7,57.2,7.8,92.6,0
158,856.1151123046875,752.0,2018-09-04,0,0,0,2018,9,2,0,0,0,0,25.1,0.0,8.0,76.9,0
159,698.0492553710938,675.0,2018-09-05,0,0,0,2018,9,3,0,0,0,0,24.3,0.0,8.2,67.6,0
160,580.764404296875,772.0,2018-09-06,0,0,0,2018,9,4,0,0,0,0,23.8,0.0,6.5,68.3,0
161,936.3512573242188,669.0,2018-09-07,0,0,0,2018,9,5,0,0,0,0,21.7,15.6,9.7,86.9,0
162,1444.213623046875,1459.0,2018-09-08,0,0,1,2018,9,6,0,0,0,0,21.3,0.0,5.3,70.9,1
163,931.6253051757812,946.9999389648438,2018-09-10,0,0,0,2018,9,1,0,0,0,0,21.5,0.0,6.0,61.5,0
164,729.1201782226562,707.0,2018-09-11,0,0,0,2018,9,2,0,0,0,0,21.2,0.0,6.9,65.1,0
165,709.894287109375,558.0,2018-09-12,0,0,0,2018,9,3,0,0,0,0,23.2,0.0,4.5,73.3,0
166,715.9395751953125,607.0,2018-09-13,0,0,0,2018,9,4,0,0,0,0,21.8,8.6,4.3,89.3,0
167,829.4927368164062,698.0,2018-09-14,0,0,0,2018,9,5,0,0,0,0,21.8,47.7,4.2,96.3,0
168,1202.78662109375,1399.0,2018-09-15,0,0,1,2018,9,6,0,0,0,0,22.6,1.4,4.1,89.5,1
169,1336.1925048828125,1323.0,2018-09-16,0,0,1,2018,9,7,0,0,0,0,24.9,0.0,5.5,80.1,1
170,844.9022827148438,756.0,2018-09-17,0,0,0,2018,9,1,0,0,0,0,23.8,0.0,3.9,74.6,0
171,764.2559204101562,765.0,2018-09-18,0,0,0,2018,9,2,0,0,0,0,24.0,0.0,5.9,79.9,0
172,745.6259765625,1020.0000610351562,2018-09-19,0,0,0,2018,9,3,0,0,0,0,23.2,0.0,4.7,84.4,0
173,771.617431640625,750.0,2018-09-20,0,0,0,2018,9,4,0,0,0,0,20.6,11.4,5.2,91.3,0
